"","id","name","popularity","followers.total","genres","type","total_num_songs"
"199","0VKTLKamj4IH8OfQbUL0kq","Dem Franchize Boyz",53,341548,"atl hip hop;crunk;dirty south rap;gangster rap;pop rap;rap;southern hip hop;trap","non_billboard",NA
"200","57IlHIE0H0YYOxS5AemgpL","Desert Storm",16,314,NA,"non_billboard",NA
"201","5spEJXLwD1sKUdC2bnOHPg","Bone Thugs-N-Harmony",69,2091408,"gangster rap;hip hop;ohio hip hop;pop rap;rap;southern hip hop","non_billboard",NA
"202","6FMOGdP16KnjoA2yDa6N0v","Peter Rauhofer",30,7672,"tribal house;vocal house","non_billboard",NA
"203","02TRrfIIGhMw72AMw7tOPm","Craig C.",14,26,NA,"non_billboard",NA
"204","6KyarA0hzApvW5Mhl21qsI","Martin ""Mayhem"" Ikin",6,4,NA,"non_billboard",NA
"205","3ScY9CQxNLQei8Umvpx5g6","Fat Joe",72,1216009,"bronx hip hop;east coast hip hop;gangster rap;hardcore hip hop;hip hop;hip pop;pop rap;rap;trap","non_billboard",NA
"206","4hadtPX6kKntrnA87Zdy01","Scott Storch",50,10232,NA,"non_billboard",NA
"207","6CwQfN34JdGHfo0A752Lts","David Morales",53,39798,"classic house;deep house;disco house;diva house;funky tech house;soulful house;tribal house;vocal house","non_billboard",NA
"208","5qy5uPg15aiNE4uiAxcqkT","Mike Rizzo",21,218,NA,"non_billboard",NA
"209","2Hp1hOzrknGAeA73CJ6d4f","Josh Harris",20,432,NA,"non_billboard",NA
"210","6X4LvL2xVwf3B6WuQ0YAhm","Junior Vasquez",35,8776,"garage house;tribal house;vocal house","non_billboard",NA
